model,representation,accuracy,precision,recall,f1_score,train_time,predict_time
Random Forest,Bigramas + Lingüísticas,0.9630,0.9667,0.9630,0.9628,0.08,0.02
Random Forest,Características Lingüísticas,0.9259,0.9296,0.9259,0.9258,0.08,0.02
Random Forest,Unigramas + Lingüísticas,0.9259,0.9394,0.9259,0.9250,0.09,0.01
Random Forest,Trigramas + Lingüísticas,0.8519,0.8524,0.8519,0.8465,0.08,0.02
SVM,Características Lingüísticas,0.7407,0.7407,0.7407,0.7280,0.01,0.00
Random Forest,TF-IDF Unigramas,0.6296,0.6306,0.6296,0.6288,0.09,0.02
Random Forest,TF-IDF Trigramas,0.5926,0.6118,0.5926,0.5972,0.09,0.02
SVM,Bigramas + Lingüísticas,0.5926,0.7292,0.5926,0.5886,0.01,0.00
SVM,Trigramas + Lingüísticas,0.5926,0.7292,0.5926,0.5886,0.01,0.00
SVM,TF-IDF Unigramas,0.5556,0.5921,0.5556,0.5685,0.01,0.00
SVM,TF-IDF Trigramas,0.5556,0.5921,0.5556,0.5685,0.00,0.00
SVM,TF-IDF Bigramas,0.5556,0.6019,0.5556,0.5661,0.00,0.00
SVM,Unigramas + Lingüísticas,0.6296,0.7917,0.6296,0.5634,0.01,0.00
Random Forest,TF-IDF Bigramas,0.5556,0.6111,0.5556,0.5628,0.08,0.02
Naive Bayes,TF-IDF Unigramas,0.5185,0.5635,0.5185,0.5338,0.00,0.00
Naive Bayes,TF-IDF Bigramas,0.5185,0.5714,0.5185,0.5283,0.00,0.00
Naive Bayes,TF-IDF Trigramas,0.5185,0.5714,0.5185,0.5283,0.00,0.00
